,neighbourhood_cleansed,review_scores_cleanliness,review_scores_checkin,availability_60,host_total_listings_count,maximum_nights,review_scores_communication,beds,calculated_host_listings_count_entire_homes,review_scores_rating,number_of_reviews,bedrooms,calculated_host_listings_count_private_rooms,number_of_reviews_l30d,review_scores_value,availability_30,review_scores_location,availability_90,accommodates,host_listings_count,number_of_reviews_ltm,latitude,minimum_nights,availability_365,calculated_host_listings_count,price,review_scores_accuracy,longitude
11417,l'Antiga Esquerra de l'Eixample,4.64,4.56,36,48.0,365,4.68,4.0,28.0,4.48,25.0,3.0,0.0,0.0,4.28,15,4.84,64,5.0,43.0,8.0,41.3860732,1.0,93,28.0,167.0,4.52,2.1583395
11418,el Poble Sec,4.33,5.0,15,15.0,120,5.0,3.0,7.0,5.0,3.0,2.0,0.0,0.0,5.0,4,5.0,45,4.0,12.0,3.0,41.37321,32.0,253,7.0,82.0,5.0,2.16842
11419,la Dreta de l'Eixample,4.56,4.81,20,8.0,365,4.65,3.0,1.0,4.61,98.0,2.0,0.7,2.0,4.44,5,4.95,50,6.0,7.0,6.7,41.39026,1.0,91,7.0,199.0,4.63,2.17097
11420,el Poble Sec,4.33,4.79,52,1.0,1125,4.73,1.0,0.0,4.61,67.0,1.0,1.0,0.3,4.3,25,4.72,82,2.0,1.0,37.0,41.37296,2.0,357,1.0,60.0,4.66,2.16419
11421,el Poble Sec,4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,1.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.37490373524901,33.0,36,13.1,23.0,4.639845192829983,2.1700386255070057
11422,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,60,1.0,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,30,4.742934066680247,90,2.0,1.0,0.0,41.40127809974234,13.5,365,1.0,56.0,4.639845192829983,2.17087178375646
11423,Sant Gervasi - Galvany,4.85,4.92,21,3.0,60,4.92,1.0,0.0,4.77,84.0,1.0,3.0,0.3,4.71,2,4.89,21,2.0,3.0,6.7,41.39894243746016,2.0,21,3.0,67.0,4.83,2.1434517064668657
11424,Sant Gervasi - Galvany,4.85,4.96,15,3.0,60,4.99,1.0,0.0,4.92,91.0,1.0,3.0,0.3,4.79,4,4.85,15,2.0,3.0,6.7,41.40024,2.0,15,3.0,70.0,4.86,2.14512
11425,el Poble Sec,4.57,4.74,44,23.0,365,4.75,6.0,17.0,4.61,77.0,3.0,0.0,1.0,4.32,18,4.7,74,6.0,21.0,39.0,41.37244,2.0,346,17.0,204.0,4.64,2.1656
11426,el Raval,5.0,5.0,0,30.0,365,5.0,2.0,0.0,5.0,2.0,2.0,0.7,0.0,5.0,0,5.0,3,2.0,26.0,1.0,41.3794589,1.0,270,24.0,128.0,5.0,2.1666223
11427,el Raval,4.7,4.8,27,18.5,365,4.5,2.0,6.7,4.7,8.0,1.0,0.0,1.0,4.5,0,4.8,57,2.0,13.8,4.0,41.37869,32.0,84,78.0,59.0,4.7,2.17027
11428,el Barri Gòtic,4.5,5.0,27,42.0,365,4.8,1.0,17.0,4.5,4.0,1.0,0.0,0.0,4.0,0,4.8,57,2.0,22.0,3.0,41.3808,1.0,143,17.0,82.0,4.75,2.17996
11429,el Fort Pienc,4.605955597800259,4.717400013580498,35,18.5,360,4.713566191446029,1.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,5,4.742934066680247,65,1.0,13.8,0.0,41.3981996,33.0,340,13.1,29.0,4.639845192829983,2.1781795
11430,el Raval,5.0,5.0,50,18.5,360,5.0,1.0,9.0,5.0,1.0,1.0,0.7,0.0,5.0,20,5.0,80,1.0,13.8,0.0,41.3825272,33.0,355,13.1,60.0,5.0,2.1711402
11431,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,60,18.5,365,4.713566191446029,2.0,6.7,4.587361346819633,0.0,3.0,0.0,0.0,4.450359179793591,30,4.742934066680247,90,6.0,13.8,0.0,41.3839,31.0,365,13.1,128.0,4.639845192829983,2.17903
11432,la Sagrada Família,5.0,5.0,0,18.5,365,5.0,1.0,9.0,5.0,1.0,1.0,0.7,0.0,5.0,0,5.0,0,1.0,13.8,1.0,41.40144843149936,33.0,37,13.1,32.0,5.0,2.175087004342537
11433,l'Antiga Esquerra de l'Eixample,5.0,5.0,15,9.0,365,5.0,1.0,0.0,5.0,7.0,1.0,3.0,0.0,5.0,7,5.0,22,1.0,4.0,4.0,41.3877,30.0,297,3.0,28.0,5.0,2.15756
11434,Sant Martí de Provençals,4.605955597800259,4.717400013580498,60,8.0,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,30,4.742934066680247,90,2.0,1.0,0.0,41.41864,29.0,365,1.0,72.0,4.639845192829983,2.19961
11435,el Barri Gòtic,4.7,4.75,0,18.5,365,4.5,2.0,6.7,5.0,4.0,2.0,0.0,0.0,4.0,0,5.0,0,4.0,13.8,2.0,41.38091,32.0,83,78.0,156.0,4.75,2.17378
11436,Sant Gervasi - Galvany,4.63,4.7,36,2.0,1125,4.89,3.0,1.0,4.63,27.0,2.0,0.0,1.0,4.67,6,4.93,66,4.0,1.0,16.0,41.39414,13.0,156,1.0,160.0,4.81,2.14703
11437,el Barri Gòtic,5.0,5.0,4,42.0,365,5.0,1.0,17.0,5.0,2.0,1.0,0.0,0.0,5.0,0,5.0,34,2.0,22.0,0.0,41.38007,1.0,309,17.0,76.0,5.0,2.17975
11438,el Barri Gòtic,4.605955597800259,4.717400013580498,22,18.5,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,52,1.0,13.8,0.0,41.38736,32.0,327,13.1,33.0,4.639845192829983,2.17276
11439,la Dreta de l'Eixample,4.43,4.73,34,39.0,31,4.78,4.0,37.0,4.33,63.0,3.0,0.0,2.0,4.14,12,4.78,41,5.0,37.0,28.0,41.38929,4.0,316,37.0,241.0,4.46,2.17517
11440,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,36,18.5,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,6,4.742934066680247,66,1.0,13.8,0.0,41.38736,32.0,341,13.1,31.0,4.639845192829983,2.17055
11441,la Nova Esquerra de l'Eixample,4.34,4.56,12,38.0,27,4.58,5.0,35.0,4.34,62.0,3.0,0.0,1.0,4.13,2,4.79,26,3.0,35.0,24.0,41.37873,4.0,301,35.0,133.4,4.7,2.14966
11442,el Raval,4.51,4.86,37,14.0,365,4.89,2.0,0.0,4.54,65.0,1.0,3.0,2.0,4.38,7,4.55,67,2.0,7.0,23.0,41.380939375867705,3.0,342,3.0,82.0,4.54,2.170356505655744
11443,el Poble Sec,4.85,4.9,13,14.0,365,5.0,1.0,0.0,4.7,20.0,1.0,4.0,0.3,4.75,1,4.75,43,1.0,10.0,20.0,41.37343611676263,3.0,318,4.0,43.0,4.85,2.156964368687914
11444,l'Antiga Esquerra de l'Eixample,4.605955597800259,4.717400013580498,0,18.5,365,4.713566191446029,2.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.38743,33.0,218,13.1,128.0,4.639845192829983,2.15267
11445,"Sant Pere, Santa Caterina i la Ribera",4.77,4.89,33,5.0,365,4.95,4.0,1.0,4.74,62.0,3.0,0.0,0.3,4.65,12,4.79,54,6.0,1.0,38.0,41.388076,4.0,152,1.0,133.4,4.63,2.1765018
11446,el Besòs i el Maresme,5.0,4.75,0,124.0,250,5.0,4.0,24.0,5.0,4.0,3.0,0.7,0.0,4.75,0,4.5,14,3.0,34.0,1.0,41.41504,32.0,289,34.0,350.0,4.75,2.20921
11447,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,22,18.5,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,52,2.0,13.8,0.0,41.38932,32.0,327,13.1,36.0,4.639845192829983,2.17139
11448,la Nova Esquerra de l'Eixample,4.22,4.54,36,38.0,31,4.76,3.0,35.0,4.2,46.0,2.0,0.0,0.3,3.98,10,4.72,66,5.0,35.0,26.0,41.37916,4.0,341,35.0,139.0,4.7,2.14965
11449,la Nova Esquerra de l'Eixample,4.46,4.79,39,38.0,31,4.9,3.0,35.0,4.46,48.0,2.0,0.0,2.0,4.29,9,4.71,69,5.0,35.0,28.0,41.38046,4.0,344,35.0,190.0,4.48,2.14912
11450,la Nova Esquerra de l'Eixample,4.24,4.78,19,38.0,31,4.83,3.0,35.0,4.31,58.0,2.0,0.0,0.3,4.0,3,4.69,43,5.0,35.0,29.0,41.38054,4.0,318,35.0,165.0,4.59,2.15114
11451,Horta,4.62,4.89,52,4.0,60,4.76,3.0,1.0,4.59,37.0,2.0,0.0,0.3,4.27,22,4.51,82,4.0,3.0,19.0,41.42974,2.0,357,1.0,174.0,4.54,2.16296
11452,el Raval,4.45,4.76,22,29.0,1125,4.79,2.2,26.0,4.45,38.0,1.5,0.0,0.3,4.24,10,4.68,52,3.0,26.0,26.0,41.37868,4.0,327,26.0,344.0,4.7,2.17116
11453,la Vila de Gràcia,4.605955597800259,4.717400013580498,0,2.0,365,4.713566191446029,2.0,1.0,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,0,4.742934066680247,0,4.0,1.0,0.0,41.3998789,3.0,99,1.0,240.0,4.639845192829983,2.1600761
11454,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,58,13.0,90,4.713566191446029,2.0,5.0,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,28,4.742934066680247,88,4.0,6.0,0.0,41.391075053248606,31.0,88,5.0,150.0,4.639845192829983,2.163995929057528
11455,el Barri Gòtic,5.0,5.0,3,6.0,334,5.0,4.0,1.0,5.0,2.0,3.0,0.0,0.0,5.0,0,5.0,33,5.0,2.0,2.0,41.37984609999999,32.0,195,1.0,90.0,5.0,2.1762203
11456,el Barri Gòtic,4.79,5.0,7,4.0,50,5.0,1.0,1.0,5.0,14.0,1.0,0.0,1.0,4.71,7,4.86,7,2.0,2.0,14.0,41.38072817636751,5.0,7,1.0,160.0,5.0,2.179463696225169
11457,el Raval,4.5,4.83,23,29.0,1125,4.86,2.2,26.0,4.44,78.0,1.5,0.0,0.3,4.45,10,4.56,49,3.0,26.0,6.7,41.379536,4.0,324,26.0,133.4,4.38,2.172061
11458,el Raval,4.7,4.55,9,29.0,1125,4.64,2.2,26.0,4.27,64.0,1.5,0.0,0.3,4.09,2,4.8,32,3.0,26.0,27.0,41.37974,4.0,303,26.0,354.0,4.7,2.17297
11459,el Raval,4.37,4.63,20,29.0,1125,4.76,4.0,26.0,4.37,71.0,3.0,0.0,0.3,4.24,10,4.65,50,6.0,26.0,38.0,41.37903,4.0,325,26.0,249.0,4.3,2.17312
11460,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,22,18.5,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,52,2.0,13.8,0.0,41.38793,32.0,327,13.1,36.0,4.639845192829983,2.1709
11461,Hostafrancs,4.37,4.68,32,18.5,365,4.49,4.0,6.7,4.32,41.0,3.0,0.0,1.0,4.22,5,4.56,61,7.0,13.8,28.0,41.37761,2.0,178,13.1,298.0,4.51,2.14224
11462,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,9,18.5,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,39,1.0,13.8,0.0,41.38914,32.0,314,13.1,25.0,4.639845192829983,2.17099
11463,el Barri Gòtic,4.605955597800259,4.717400013580498,22,18.5,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,52,2.0,13.8,0.0,41.38745,32.0,327,13.1,33.0,4.639845192829983,2.17268
11464,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,36,18.5,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,6,4.742934066680247,66,1.0,13.8,0.0,41.38786,32.0,341,13.1,31.0,4.639845192829983,2.17079
11465,el Barri Gòtic,4.47,4.41,51,4.0,365,4.59,1.0,0.0,4.47,17.0,1.0,2.0,0.3,4.53,21,4.71,81,2.0,2.0,5.0,41.37965,2.0,81,2.0,76.0,4.41,2.18057
11466,la Dreta de l'Eixample,4.7,4.69,27,56.0,1125,4.54,4.0,30.0,4.26,68.0,1.5,0.0,1.0,4.21,3,4.82,57,4.0,33.0,28.0,41.39736,1.0,332,30.0,267.0,4.28,2.1618
11467,el Camp de l'Arpa del Clot,4.62,4.82,2,2.0,1125,4.84,1.0,0.0,4.55,94.0,1.0,1.0,0.3,4.52,2,4.64,2,2.0,1.0,6.7,41.4127378,2.0,30,1.0,68.0,4.67,2.1828501
11468,Sants,4.4,4.4,6,76.0,730,5.0,1.0,13.0,4.6,5.0,1.0,0.0,1.0,4.4,6,4.8,6,2.0,71.0,3.0,41.37314,32.0,105,13.0,44.0,4.6,2.13199
11469,la Nova Esquerra de l'Eixample,4.46,4.8,55,18.5,365,4.46,1.0,0.0,4.7,13.0,1.0,0.7,0.0,4.5,25,4.8,85,2.0,13.8,3.0,41.38493,1.0,163,40.0,80.0,4.7,2.14855
11470,el Poble Sec,4.7,5.0,0,18.5,360,5.0,2.0,9.0,5.0,1.0,1.0,0.7,0.0,4.0,0,5.0,0,1.0,13.8,0.0,41.37433,33.0,249,13.1,128.0,5.0,2.16604
11471,"Sant Pere, Santa Caterina i la Ribera",4.25,4.8,2,18.5,330,4.8,2.0,6.7,4.25,4.0,1.0,3.0,0.0,4.0,2,4.5,31,2.0,13.8,2.0,41.38764,32.0,184,13.1,127.0,4.75,2.17649
11472,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,27,18.5,270,5.0,2.0,6.7,5.0,4.0,1.0,3.0,0.0,4.75,0,5.0,57,2.0,13.8,2.0,41.38784,32.0,301,13.1,90.0,4.5,2.1781
11473,"Sant Pere, Santa Caterina i la Ribera",4.7,4.8,18,18.5,270,4.8,2.0,6.7,4.7,1.0,1.0,3.0,0.0,4.0,3,5.0,18,2.0,13.8,1.0,41.38763,32.0,158,13.1,89.0,4.7,2.17787
11474,"Sant Pere, Santa Caterina i la Ribera",4.5,5.0,0,1.0,1125,5.0,5.0,1.0,5.0,2.0,2.0,0.0,0.0,5.0,0,5.0,0,4.0,1.0,1.0,41.3882007,32.0,68,1.0,85.0,5.0,2.1742305
11475,el Poble Sec,5.0,5.0,0,1.0,330,5.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,5.0,0,5.0,0,4.0,1.0,0.0,41.37283,31.0,203,1.0,85.0,5.0,2.16489
11476,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,10,18.5,1125,4.713566191446029,3.0,6.7,4.587361346819633,0.0,3.0,0.0,0.0,4.450359179793591,3,4.742934066680247,10,6.0,13.8,0.0,41.3844653,32.0,135,13.1,172.0,4.639845192829983,2.1848964
11477,la Nova Esquerra de l'Eixample,4.605955597800259,4.717400013580498,0,18.5,1125,4.713566191446029,2.0,6.7,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,0,4.742934066680247,0,4.0,13.8,0.0,41.3783876,32.0,51,13.1,138.0,4.639845192829983,2.1528297
11478,la Barceloneta,4.42,4.55,7,3.0,180,4.67,3.0,1.0,4.45,33.0,3.0,0.0,2.0,4.48,0,4.79,37,4.0,1.0,19.0,41.38315538788555,32.0,312,1.0,170.0,4.61,2.189428684935289
11479,la Barceloneta,5.0,4.89,46,3.0,365,5.0,1.0,2.0,4.89,9.0,1.0,0.0,0.0,4.56,16,4.89,76,2.0,3.0,4.0,41.37759,31.0,256,2.0,59.0,4.89,2.19156
11480,el Barri Gòtic,4.67,5.0,29,1.0,186,4.89,2.0,1.0,4.89,9.0,2.0,0.0,0.0,4.78,25,4.89,59,4.0,1.0,6.0,41.37727,31.0,334,1.0,75.0,5.0,2.1774
11481,la Barceloneta,4.7,5.0,48,18.5,365,4.8,2.0,6.7,4.7,5.0,1.0,0.0,0.0,4.5,18,5.0,78,2.0,13.8,3.0,41.38136,32.0,163,78.0,92.0,4.7,2.19194
11482,la Vila de Gràcia,4.5,5.0,48,18.0,365,5.0,3.0,3.0,5.0,2.0,3.0,0.0,0.0,4.0,18,5.0,78,5.0,10.0,1.0,41.40216,32.0,353,3.0,100.0,5.0,2.15545
11483,la Bordeta,4.61,4.9,40,1.0,35,4.83,1.0,0.0,4.66,41.0,1.0,1.0,0.0,4.49,10,4.54,70,2.0,1.0,23.0,41.37052,30.0,345,1.0,50.0,4.61,2.13414
11484,la Barceloneta,4.78,4.72,50,18.5,365,4.69,1.0,0.0,4.69,58.0,1.0,0.7,0.3,4.49,23,4.91,80,2.0,13.8,37.0,41.380756471357415,1.0,355,40.0,87.0,4.69,2.188126507604512
11485,la Nova Esquerra de l'Eixample,4.7,4.8,18,11.0,365,4.8,2.2,5.0,4.7,1.0,1.5,0.0,0.0,4.5,18,4.8,18,3.0,6.0,0.0,41.38427,31.0,154,5.0,150.0,4.7,2.14259
11486,el Poblenou,4.63,4.43,36,1.0,1125,4.39,1.0,0.0,4.49,84.0,1.0,1.0,0.3,4.24,6,4.7,66,2.0,1.0,37.0,41.40139,2.0,338,1.0,90.0,4.57,2.19857
11487,el Parc i la Llacuna del Poblenou,4.89,4.89,35,4.0,365,4.81,1.0,0.0,4.78,102.0,1.0,3.0,0.3,4.63,6,4.79,65,2.0,4.0,6.7,41.39937,3.0,245,3.0,84.0,4.71,2.18923
11488,Diagonal Mar i el Front Marítim del Poblenou,5.0,4.8,0,1.0,4,4.8,2.0,0.0,4.33,3.0,1.0,1.0,0.0,4.67,0,4.67,0,1.0,1.0,0.0,41.40975,2.0,0,1.0,128.0,4.33,2.20927
11489,Pedralbes,5.0,5.0,6,1.0,1125,4.87,2.0,1.0,4.87,15.0,1.0,0.0,0.3,4.6,1,4.8,28,4.0,1.0,11.0,41.38757,1.0,273,1.0,176.0,5.0,2.2
11490,Sants - Badal,4.91,4.94,0,1.0,30,4.97,1.0,0.0,4.97,33.0,1.0,1.0,0.0,4.73,0,4.82,0,1.0,1.0,16.0,41.37464,1.0,66,1.0,50.0,4.97,2.12508
11491,l'Antiga Esquerra de l'Eixample,4.605955597800259,4.717400013580498,0,18.5,365,4.713566191446029,1.0,6.7,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,0,4.742934066680247,23,2.0,13.8,0.0,41.39029,31.0,263,13.1,168.0,4.639845192829983,2.15932
11492,el Poble Sec,4.7,4.8,53,38.0,31,4.8,2.2,35.0,4.7,19.0,1.5,0.0,1.0,4.5,23,4.8,83,3.0,35.0,12.0,41.37322,4.0,358,35.0,267.0,4.7,2.16509
11493,l'Antiga Esquerra de l'Eixample,4.7,4.8,23,18.5,365,4.8,2.0,6.7,4.7,1.0,1.0,0.0,0.0,4.5,0,4.8,53,2.0,13.8,0.0,41.38832,31.0,293,13.1,128.0,4.7,2.15837
11494,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,4,18.5,365,4.713566191446029,3.0,6.7,4.587361346819633,0.0,3.0,0.0,0.0,4.450359179793591,0,4.742934066680247,34,6.0,13.8,0.0,41.39546,31.0,274,13.1,173.0,4.639845192829983,2.17537
11495,Sant Gervasi - Galvany,4.605955597800259,4.717400013580498,0,18.5,352,4.713566191446029,1.0,37.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,2.0,13.8,0.0,41.3922,32.0,218,13.1,78.0,4.639845192829983,2.14149
11496,el Camp de l'Arpa del Clot,4.33,5.0,55,5.0,29,4.78,2.0,0.0,4.33,9.0,1.0,4.0,1.0,4.22,25,4.67,85,2.0,4.0,3.0,41.41044117289557,2.0,360,4.0,85.0,4.7,2.181368172168732
11497,el Poble Sec,4.8,4.9,0,4.0,120,5.0,2.0,3.0,4.8,10.0,1.0,0.0,0.0,4.5,0,4.7,0,2.0,3.0,5.0,41.37267,32.0,71,3.0,62.0,4.9,2.16676
11498,l'Antiga Esquerra de l'Eixample,4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,2.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.39108432740424,33.0,190,13.1,128.0,4.639845192829983,2.149085696304124
11499,el Guinardó,4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,2.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.41989099739504,33.0,248,13.1,128.0,4.639845192829983,2.1801974018682926
11500,Sants - Badal,4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,2.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.376377249632135,33.0,218,13.1,128.0,4.639845192829983,2.128662820439602
11501,les Corts,4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,1.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,2.0,13.8,0.0,41.38855836385609,33.0,247,13.1,36.0,4.639845192829983,2.1372492802287466
11502,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,0,18.5,1125,4.75,1.0,6.7,4.75,4.0,1.0,0.0,0.0,4.0,0,4.5,5,2.0,13.8,2.0,41.386613,32.0,280,13.1,108.0,4.5,2.1814711
11503,el Barri Gòtic,4.7,4.8,0,42.0,365,4.8,1.0,17.0,4.7,7.0,1.0,0.0,0.0,4.5,0,4.8,0,2.0,22.0,3.0,41.37991,32.0,249,17.0,64.0,4.7,2.17986
11504,el Raval,4.98,4.97,11,5.0,90,4.97,1.0,0.0,4.97,91.0,1.0,2.0,0.3,4.89,4,4.88,41,2.0,4.0,6.7,41.3805,2.0,316,2.0,147.0,4.93,2.16423
11505,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,52,18.5,365,5.0,2.0,6.7,5.0,2.0,3.0,0.0,0.0,5.0,22,5.0,82,6.0,13.8,1.0,41.38521,31.0,357,13.1,128.0,5.0,2.1796
11506,la Barceloneta,4.605955597800259,4.717400013580498,57,1.0,1125,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,27,4.742934066680247,87,2.0,1.0,0.0,41.37847660866146,32.0,177,1.0,44.0,4.639845192829983,2.188461999333738
11507,"Sant Pere, Santa Caterina i la Ribera",4.5,4.5,1,33.0,180,5.0,2.0,24.0,5.0,2.0,2.0,1.0,0.0,4.0,0,5.0,1,4.0,25.0,2.0,41.38729,31.0,232,25.0,80.0,4.5,2.18023
11508,la Nova Esquerra de l'Eixample,4.605955597800259,4.717400013580498,33,18.5,1125,4.713566191446029,1.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,3,4.742934066680247,63,1.0,13.8,0.0,41.38003362810458,33.0,338,13.1,30.0,4.639845192829983,2.1557142260432283
11509,les Corts,4.63,5.0,9,4.0,1125,4.75,5.0,1.0,4.75,8.0,1.5,0.0,1.0,4.75,2,4.75,39,3.0,4.0,4.0,41.3838958,32.0,85,1.0,74.0,4.75,2.1397495
11510,la Vila de Gràcia,4.4,4.8,23,14.0,365,5.0,1.0,4.0,4.9,10.0,1.0,0.7,0.0,4.8,22,4.9,52,1.0,11.0,2.0,41.4011279,1.0,327,11.0,69.0,4.6,2.1648847
11511,la Sagrada Família,4.53,4.41,23,18.5,365,4.74,2.0,6.7,4.49,73.0,2.0,0.0,0.3,4.34,3,4.82,48,5.0,13.8,6.7,41.40537,2.0,165,13.1,298.0,4.6,2.17514
11512,la Nova Esquerra de l'Eixample,5.0,5.0,15,9.0,200,5.0,1.0,0.0,5.0,4.0,1.0,0.7,1.0,5.0,0,5.0,45,1.0,9.0,4.0,41.3835819,31.0,320,8.0,31.0,5.0,2.1555474
11513,Sant Antoni,4.75,4.72,16,18.5,1125,4.82,3.0,6.7,4.57,61.0,3.0,0.0,0.3,4.36,6,4.79,39,4.0,13.8,30.0,41.37642,1.0,310,81.0,69.0,4.48,2.16272
11514,Vallcarca i els Penitents,4.605955597800259,4.717400013580498,59,2.0,365,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,29,4.742934066680247,89,1.0,1.0,0.0,41.415135842882215,1.0,179,1.0,128.0,4.639845192829983,2.139146117319489
11515,el Raval,4.7,4.8,0,30.0,365,4.8,2.0,0.0,4.7,11.0,1.0,0.7,0.0,4.5,0,4.8,3,2.0,26.0,1.0,41.38037,1.0,278,24.0,128.0,4.7,2.16561
11516,el Poblenou,4.7,5.0,6,18.5,365,4.6,2.0,6.7,4.7,5.0,1.0,0.0,0.0,4.5,6,4.6,8,2.0,13.8,5.0,41.40122,32.0,67,78.0,128.0,4.7,2.19949
11517,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,8,78.0,365,5.0,2.0,6.7,5.0,4.0,2.0,0.0,0.0,5.0,0,4.75,38,4.0,72.0,2.0,41.385152,1.0,65,48.0,76.0,5.0,2.1826196
11518,Sant Antoni,4.55,4.68,46,18.5,365,4.59,3.0,6.7,4.52,44.0,3.0,0.0,1.0,4.32,20,4.75,76,5.0,13.8,29.0,41.38259,2.0,192,13.1,285.0,4.52,2.16212
11519,la Nova Esquerra de l'Eixample,4.51,4.75,45,18.5,365,4.81,1.0,0.0,4.53,100.0,1.0,0.7,0.3,4.24,15,4.69,75,2.0,13.8,6.7,41.38295,1.0,153,40.0,70.0,4.58,2.14496
11520,Sant Gervasi - Galvany,4.605955597800259,4.717400013580498,0,18.5,365,4.713566191446029,2.0,6.7,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,0,4.742934066680247,26,4.0,13.8,0.0,41.39451,31.0,266,13.1,238.0,4.639845192829983,2.13767
11521,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,33,2.0,380,5.0,2.0,2.0,5.0,6.0,2.0,0.0,1.0,5.0,21,5.0,63,4.0,2.0,3.0,41.3835143,31.0,338,2.0,110.0,5.0,2.1813113
11522,la Sagrada Família,4.42,4.85,32,9.0,365,4.85,4.0,2.0,4.42,33.0,2.0,0.0,0.0,4.42,9,4.7,62,4.0,2.0,8.0,41.40521,1.0,337,2.0,212.0,4.61,2.17294
11523,Sant Antoni,4.67,5.0,60,81.0,365,5.0,1.0,30.0,5.0,3.0,1.0,0.0,0.0,4.33,30,4.67,90,2.0,38.0,0.0,41.37858,13.5,365,30.0,65.0,4.33,2.15545
11524,el Raval,4.605955597800259,4.717400013580498,3,5.0,62,4.713566191446029,1.0,2.0,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,0,4.742934066680247,31,2.0,4.0,0.0,41.37624,32.0,251,2.0,72.0,4.639845192829983,2.17115
11525,Can Baró,4.83,4.74,39,15.0,365,4.55,3.0,13.0,4.66,53.0,1.0,0.0,2.0,4.42,13,4.8,69,3.0,13.0,20.0,41.41619,4.0,159,13.0,141.0,4.7,2.16156
11526,el Fort Pienc,4.7,4.8,39,2.0,365,4.8,1.0,0.0,4.7,38.0,1.0,2.0,1.0,4.5,10,4.8,69,2.0,2.0,30.0,41.40059,1.0,69,2.0,66.0,4.7,2.18332
11527,el Clot,5.0,5.0,0,76.0,365,5.0,2.0,6.7,5.0,2.0,2.0,0.0,0.0,5.0,0,5.0,0,2.0,68.0,0.0,41.40949699999999,32.0,244,66.0,90.0,5.0,2.1871826
