,neighbourhood_cleansed,review_scores_cleanliness,review_scores_checkin,availability_60,host_total_listings_count,maximum_nights,review_scores_communication,beds,calculated_host_listings_count_entire_homes,review_scores_rating,number_of_reviews,bedrooms,calculated_host_listings_count_private_rooms,number_of_reviews_l30d,review_scores_value,availability_30,review_scores_location,availability_90,accommodates,host_listings_count,number_of_reviews_ltm,latitude,minimum_nights,availability_365,calculated_host_listings_count,price,review_scores_accuracy,longitude
2535,la Dreta de l'Eixample,4.59,4.64,27,44.0,1125,4.7,2.0,35.0,4.48,56.0,1.5,0.0,1.0,4.47,12,4.96,38,3.0,35.0,14.0,41.38856,1.0,202,35.0,128.0,4.52,2.17057
2536,Diagonal Mar i el Front Marítim del Poblenou,4.19,4.71,0,4.0,1125,4.69,2.0,0.0,4.39,64.0,1.0,2.0,0.0,4.44,0,4.8,0,2.0,2.0,0.0,41.40841,1.0,0,2.0,128.0,4.5,2.20796
2537,la Teixonera,4.88,4.88,0,2.0,1125,4.9,2.0,0.0,4.7,40.0,1.0,1.0,0.0,4.78,0,4.5,0,2.0,1.0,0.0,41.42369,2.0,0,1.0,128.0,4.88,2.14722
2538,la Dreta de l'Eixample,4.36,4.78,25,10.0,1124,4.83,4.0,4.0,4.53,36.0,2.0,0.0,0.0,4.44,12,4.86,33,5.0,4.0,6.0,41.38651,3.0,93,4.0,133.4,4.69,2.16576
2539,la Dreta de l'Eixample,4.79,4.97,7,15.0,1125,4.99,3.0,12.0,4.85,89.0,3.0,0.0,0.0,4.68,4,4.92,37,5.0,12.0,17.0,41.39152908325195,4.0,69,12.0,293.0,4.89,2.17509388923645
2540,Sants,4.8,4.91,6,12.0,1125,4.85,4.0,7.0,4.78,18.0,1.0,0.0,0.3,4.71,2,4.76,33,4.0,7.0,6.7,41.38167,2.0,301,7.0,99.0,4.86,2.13785
2541,la Vila de Gràcia,4.9,4.95,0,1.0,1125,4.97,2.0,1.0,4.88,40.0,1.0,0.0,0.0,4.63,0,4.89,0,2.0,1.0,0.0,41.39897,3.0,0,1.0,128.0,4.88,2.15622
2542,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,60,33.0,1125,5.0,1.0,0.0,5.0,9.0,1.0,4.0,0.0,4.78,30,5.0,90,2.0,15.0,0.0,41.38349,60.0,90,4.0,160.0,4.75,2.17941
2543,la Dreta de l'Eixample,4.75,4.86,9,6.0,1125,4.86,4.0,5.0,4.8,18.0,1.0,0.0,2.0,4.73,3,4.9,9,6.0,5.0,6.7,41.39799,2.0,150,5.0,204.0,4.79,2.16974
2544,el Raval,4.9,5.0,11,12.0,1125,4.93,5.0,4.0,4.9,30.0,3.0,0.0,1.0,4.9,0,4.93,41,6.0,4.0,6.0,41.38268,30.0,180,4.0,300.0,4.97,2.17096
2545,la Dreta de l'Eixample,4.82,4.82,28,47.0,8,4.79,4.0,34.0,4.78,18.0,3.0,0.0,0.3,4.6,7,4.94,58,6.0,34.0,38.0,41.38744,3.0,333,34.0,330.0,4.83,2.17125
2546,Sant Antoni,4.48,4.61,5,47.0,1125,4.73,3.0,45.0,4.48,18.0,2.0,0.0,0.3,4.42,3,4.63,29,4.0,45.0,6.7,41.37759,3.0,84,45.0,165.0,4.6,2.15799
2547,la Sagrada Família,4.76,4.74,60,9.0,730,4.8,1.0,0.0,4.33,58.0,1.0,1.0,0.0,4.33,30,4.9,90,2.0,1.0,0.0,41.40236,30.0,365,1.0,54.0,4.72,2.17363
2548,el Carmel,4.83,4.63,0,3.0,62,4.83,1.0,0.0,4.58,19.0,1.0,1.0,0.0,4.38,0,4.8,0,1.0,1.0,0.0,41.42135,31.0,12,1.0,23.0,4.72,2.15738
2549,Sant Antoni,4.75,4.77,17,18.5,1125,4.81,3.0,6.7,4.66,18.0,2.0,0.0,0.0,4.55,8,4.66,34,6.0,13.8,0.0,41.37586,3.0,303,13.1,251.0,4.84,2.16506
2550,"Sant Pere, Santa Caterina i la Ribera",4.43,4.71,0,2.0,1125,4.86,2.0,0.0,4.86,7.0,1.0,1.0,0.0,4.57,0,5.0,0,2.0,1.0,0.0,41.3884,4.0,0,1.0,128.0,5.0,2.18286
2551,la Nova Esquerra de l'Eixample,4.605955597800259,4.717400013580498,0,1.0,1125,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,1.0,1.0,0.0,41.37884,1.0,0,1.0,128.0,4.639845192829983,2.15111
2552,el Fort Pienc,4.605955597800259,4.717400013580498,0,3.0,1125,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,1.0,1.0,0.0,41.40205,2.0,0,1.0,128.0,4.639845192829983,2.18189
2553,la Vila de Gràcia,4.92,4.89,9,2.0,1125,4.91,3.0,2.0,4.88,18.0,2.0,0.0,0.3,4.8,4,4.88,13,4.0,2.0,6.7,41.40566635131836,3.0,137,2.0,125.0,4.91,2.152585983276367
2554,la Barceloneta,4.5,4.75,0,1.0,60,4.75,2.0,0.0,4.5,4.0,1.0,1.0,0.0,4.5,0,5.0,0,2.0,1.0,0.0,41.37921,3.0,0,1.0,128.0,4.7,2.19022
2555,la Nova Esquerra de l'Eixample,4.93,4.93,17,2.0,1125,4.84,1.0,0.0,4.87,31.0,1.0,1.0,2.0,4.9,10,4.9,17,2.0,1.0,3.0,41.37876,2.0,17,1.0,70.0,4.93,2.15024
2556,la Vila de Gràcia,4.73,4.86,26,76.0,365,4.94,4.0,6.7,4.75,18.0,2.0,0.0,0.3,4.57,2,4.8,38,4.0,68.0,6.7,41.4002799987793,1.0,303,66.0,172.0,4.79,2.158505916595459
2557,la Vila de Gràcia,4.74,4.85,24,76.0,365,4.94,4.0,6.7,4.74,18.0,2.0,0.0,0.3,4.56,3,4.85,50,4.0,68.0,6.7,41.4002799987793,1.0,320,66.0,157.0,4.74,2.158505916595459
2558,la Sagrada Família,4.67,4.89,38,76.0,365,4.89,4.0,6.7,4.58,18.0,3.0,0.0,0.0,4.5,8,4.67,68,6.0,68.0,6.7,41.40473,1.0,342,66.0,147.0,4.66,2.18128
2559,la Dreta de l'Eixample,5.0,5.0,0,2.0,30,4.8,2.0,0.0,4.5,2.0,1.0,2.0,0.0,5.0,0,5.0,0,2.0,2.0,0.0,41.38934,2.0,0,2.0,128.0,5.0,2.1756
