,review_scores_accuracy,review_scores_accuracy,review_scores_location,host_total_listings_count,number_of_reviews,latitude,longitude,availability_60,availability_30,bedrooms,calculated_host_listings_count_entire_homes,accommodates,calculated_host_listings_count_private_rooms,minimum_nights,number_of_reviews_l30d,availability_90,beds,review_scores_rating,maximum_nights,review_scores_cleanliness,review_scores_communication,host_listings_count,review_scores_checkin,availability_365,number_of_reviews_ltm,review_scores_value,calculated_host_listings_count
43,4.88,4.88,4.94,7.0,27.0,19.41701,-99.1658,30,6,1.0,4.0,2.0,0.0,3.0,0.0,55,1.0,4.92,1125,4.95,4.98,7.0,4.98,145,20.0,4.86,4.0
44,4.94,4.94,4.96,4.0,27.0,19.42796897888184,-99.16129302978516,54,29,1.0,2.0,2.0,2.0,2.0,1.0,77,1.0,4.9,365,4.96,4.89,4.0,4.84,244,8.0,4.9,4.0
45,4.94,4.94,4.89,26.0,111.0,19.42833,-99.17634,22,1,1.0,9.0,2.0,0.0,3.0,0.0,52,2.0,4.91,1125,4.85,4.98,15.0,4.99,142,16.0,4.91,9.0
46,4.793877426390403,4.793877426390403,4.845981243184297,2.0,0.0,19.35407,-99.15812,59,29,1.0,0.0,2.0,1.0,1.0,0.0,89,1.0,4.757116810608044,365,4.761881788440568,4.829862595419848,1.0,4.843370556161396,269,0.0,4.725268047982552,1.0
47,4.95,4.95,4.95,5.0,27.0,19.38021,-99.16878,47,23,1.0,1.0,2.0,1.0,1.0,2.0,72,1.0,4.97,365,4.96,4.98,2.0,4.98,347,10.9,4.97,2.0
48,4.71,4.71,5.0,13.0,7.0,19.41124,-99.17748,33,14,1.0,4.0,3.0,1.0,1.0,0.0,43,1.9678361335646877,4.71,365,5.0,5.0,12.0,5.0,312,0.0,4.86,8.0
49,4.66,4.66,4.95,14.0,27.0,19.41236,-99.17533,20,0,1.0,12.0,2.0,0.0,1.0,2.0,47,1.0,4.59,1125,4.65,4.83,12.0,4.86,319,25.0,4.67,12.0
50,4.793877426390403,4.793877426390403,4.845981243184297,1.0,0.0,19.36305,-99.15412,0,0,1.5696453569762017,0.0,1.0,1.0,2.0,0.0,0,1.9678361335646877,4.757116810608044,14,4.761881788440568,4.829862595419848,1.0,4.843370556161396,0,0.0,4.725268047982552,1.0
51,4.87,4.87,4.9,3.0,119.0,19.43494,-99.1455,0,0,2.0,1.0,4.0,0.0,3.0,0.0,0,1.9678361335646877,4.78,180,4.88,4.73,1.0,4.89,0,0.0,4.8,1.0
52,4.76,4.76,4.86,5.0,27.0,19.41368,-99.17907,13,10,2.0,2.0,3.0,0.0,2.0,2.0,21,2.0,4.66,365,4.62,4.81,2.0,4.79,265,12.0,4.65,2.0
